Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
GreenteamPositiveFactionSchematicDesc,items,Item,,,Read this to spread the message of the Greenteam! Increase your standings with the Greenteam!,,,,,,緑チームの考えを拡散します。\n\n緑チームの信頼を得ます。,,,,,,,
GreenteamNegativeFactionSchematic,items,Item,,,The Greenteam: Unreliable! Untrustworthy!,,,,,,緑チーム: 頼りにならない！信用できない！,,,,,,,
GreenteamNegativeFactionSchematicDesc,items,Item,,,Read this to spread lies and fake news about the Greenteam! Decrease your standings with the Greenteam!,,,,,,緑チームのデマや悪い噂を拡散します。\n\n緑チームの信頼を失います。,,,,,,,

npcNurseEmptyHand,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseClub,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseKnife,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseAxe,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseSpear,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseBat,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseMachete,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseSMG,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseM60,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNursePipePistol,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNursePistol,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseDPistol,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNursePipeMG,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseAK47,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseTRifle,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNursePipeRifle,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseHRifle,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseSRifle,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNursePipeShotgun,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNursePShotgun,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseAShotgun,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseXBow,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseLBow,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcNurseRocketL,entityclasses,Entity,,,Nurse,,,,L’infirmière,,ナース,,,,,,,
npcHarleyEmptyHand,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyBMEmptyHand,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyClub,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyKnife,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyAxe,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleySpear,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyBat,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyMachete,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleySMG,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyM60,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyPipePistol,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyPistol,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyDPistol,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyPipeMG,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyAK47,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyTRifle,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyPipeRifle,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyHRifle,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyPipeShotgun,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyPShotgun,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyAShotgun,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyXBow,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyLBow,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcHarleyRocketL,entityclasses,Entity,,,Harley,,,,Harley,,ハーレー,,,,,,,
npcBakerEmptyHand,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerClub,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerKnife,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerAxe,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerSpear,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerBat,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerMachete,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerSMG,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerM60,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerPipePistol,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerPistol,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerDPistol,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerPipeMG,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerAK47,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerTRifle,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerPipeRifle,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerHRifle,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerSRifle,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerPipeShotgun,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerPShotgun,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerAShotgun,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerXBow,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerLBow,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcBakerRocketL,entityclasses,Entity,,,Baker,,,,Le boulanger,,ベーカー,,,,,,,
npcAnimalFox,entityclasses,Entity,,,Fox,,,,Renard,,キツネ,,,,,,,
animalFox,entityclasses,Entity,,,Fox,,,,Renard,,キツネ,,,,,,,
zombieFemaleTutorial,entityclasses,Entity,,,DeadGirl,,,,Fille morte,,死んだ女の子,,,,,,,
zombieFemaleTutorialFeral,entityclasses,Entity,,,DeadGirl,,,,Fille morte,,死んだ女の子,,,,,,,

start,Quest,Dialogs,,,Are you the undead?,,,,,,あなたはアンデッドですか？,,,,,,,
statement_-1684104497,Quest,Dialogs,,,Maybe not but a bar of soap wouldn't kill ya none either.,,,,,,,,,,,,,
responseID_1595140464,Quest,Dialogs,,,No I'm not dead yet.,,,,,,いいえ、まだ死んではいません。,,,,,,,
response_-24413466,Quest,Dialogs,,,Gee thanks.,,,,,,ありがとうございます。,,,,,,,
responseID_-307220871,Quest,Dialogs,,,Be safe friend.,,,,,,お気をつけて。,,,,,,,

start,Quest,Dialogs,,,Hello there,,,,,,こんにちは,,,,,,,
statement_-1333722013,Quest,Dialogs,,,Im just a farmer type guy,,,,,,私は農夫です。,,,,,,,
statement_1334552027,Quest,Dialogs,,,"Naz, funny name eh?",,,,,,ナズ、変な名前でしょ？,,,,,,,
responseID_-1128936168,Quest,Dialogs,,,Tell me about yourself,,,,,,あなたの事をおしえてください。,,,,,,,
responseID_-1290029400,Quest,Dialogs,,,Whats this place called?,,,,,,この場所の名前は何ですか？,,,,,,,
responseID_1101680756,Quest,Dialogs,,,OK Bye,,,,,,分かりました、さようなら,,,,,,,

itemNPCModHelp,items,Item,,,NPC Action: Help,,,,Action PNJ: Aide,,NPCアクション： 手助け,,,,,,,
itemNPCModStop,items,Item,,,NPC Action: Stop,,,,Action PNJ: Arrêt,,NPCアクション： 停止,,,,,,,
itemNPCModMode,items,Item,,,NPC Action: Mode,,,,Action PNJ: Mode,,NPCアクション： モード,,,,,,,

buffNPCModHaltDisplayName,items,Item,,,Halt,,,,Arrêter,,,,,,,,,
buffNPCModHaltDisplayDesc,items,Item,,,"While in either Threat or Full Control Mode, your hired NPCs will not engage until you tell them to Resume",,,,"Tant que vos PNJs seront en mode de contrôle complet ou de menaces, ils n'initieront pas le combat tant que vous le leur disiez de Reprendre",,,,,,,,,
buffNPCModResumeDisplayName,items,Item,,,Resume,,,,Reprendre,,,,,,,,,
buffNPCModResumeDisplayDesc,items,Item,,,"While in either Threat or Full Control Mode, your hired NPCs will engage until you tell them to Halt",,,,"Tant que vos PNJs seront en mode de contrôle complet ou de menaces, ils initieront le combat tant que vous le leur disiez d'Arrêter",,,,,,,,,
buffNPCModHuntingModeDisplayName,items,Item,,,Hunting Mode,,,,Mode de Chasse,,,,,,,,,
buffNPCModHuntingModeDisplayDesc,items,Item,,,"While in this mode, your hired NPCs will engage with everything considered as hostile",,,,"Dans ce mode, vos PNJs embauchés initieront le combat avec tout ce qu'ils considèrent être hostile",,,,,,,,,
buffNPCModThreatControlModeDisplayName,items,Item,,,Threat Control Mode,,,,Mode de contrôle des menaces,,,,,,,,,
buffNPCModThreatControlModeDisplayDesc,items,Item,,,"While in this mode, your hired NPCs will not engage with hostile animals (including zombies animals), unless:\n • You attack\n • You get attacked and took damage",,,,"Dans ce mode, vos your PNJs embauchés n'initieront pas le combat avec des animaux hostiles (incluant les animaux zombies), à moins que:\n • Vous attaquiez\n • Vous vous fassiez attaquer et prenez du dommage",,,,,,,,,
buffNPCModFullControlModeDisplayName,items,Item,,,Full Control Mode,,,,Mode de contrôle complet,,,,,,,,,
buffNPCModFullControlModeDisplayDesc,items,Item,,,"While in this mode, your hired NPCs will not engage, unless:\n • You attack\n • You get attacked and took damage",,,,"Dans ce mode, vos your PNJs embauchés n'initieront pas le combat, à moins que:\n • Vous attaquiez\n • Vous vous fassiez attaquer et prenez du dommage",,,,,,,,,

GenericNPC_start,Quest,Dialogs,,,"Hello friend, how can I help you?",,,,"Bonjour ami, comment puis-je vous aider?",,こんにちは友達、どのようにあなたを助けることができますか？,,,,,,,
GenericNPC_Command Menu,Quest,Dialogs,,,Command Menu,,,,Menu de commandes,,コマンドメニュー,,,,,,,
GenericNPC_Weapon Classes,Quest,Dialogs,,,Weapon Classes,,,,Classes d'armes,,武器クラス,,,,,,,
GenericNPC_Melee Menu,Quest,Dialogs,,,Melee Weapons,,,,Armes de mêlée,,近接武器,,,,,,,
GenericNPC_Pistol Menu,Quest,Dialogs,,,Pistols,,,,Pistolets,,ピストル,,,,,,,
GenericNPC_Rifle Menu,Quest,Dialogs,,,Rifles,,,,Fusils,,ライフル,,,,,,,
GenericNPC_ShotGun Menu,Quest,Dialogs,,,Shotguns,,,,Fusils à pompe,,ショットガン,,,,,,,
GenericNPC_Other Menu,Quest,Dialogs,,,Other Weapons,,,,Autres armes,,その他の武器,,,,,,,
GenericNPC_Hire,Quest,Dialogs,,,I am interested in hiring you.,,,,Je suis intéressé à vous embaucher.,,あなたを雇うことに興味があります。,,,,,,,
GenericNPC_FollowMe,Quest,Dialogs,,,Follow me,,,,Suivez-moi,,私に従ってください,,,,,,,
GenericNPC_Dump2Log,Quest,Dialogs,,,Dump Values to Log,,,,Vider les valeurs dans le journal,,ログに値をダンプする,,,,,,,
GenericNPC_ShowMe,Quest,Dialogs,,,Show Me your inventory,,,,Montrez-moi votre inventaire,,あなたの在庫を見せてください,,,,,,,
GenericNPC_StayHere,Quest,Dialogs,,,Stay where you are standing,,,,Restez où vous êtes debout,,立っている場所にとどまってください,,,,,,,
GenericNPC_Wander,Quest,Dialogs,,,Patrol around here,,,,Patrouillez autour d'ici,,ここを巡回してください,,,,,,,
GenericNPC_Patrol,Quest,Dialogs,,,Patrol your coded route,,,,Patrouillez votre itinéraire codé,,コード化されたルートを巡回してください,,,,,,,
GenericNPC_GuardHere,Quest,Dialogs,,,Stay where I am standing,,,,Restez où je suis debout,,私が立っている場所にとどまってください,,,,,,,
GenericNPC_GuardReturnHere,Quest,Dialogs,,,Guard and return to where I am standing,,,,Gardez et revenez où je suis debout,,私が立っている場所に戻って警備してください,,,,,,,
GenericNPC_SetCode,Quest,Dialogs,,,Here is your Patrol Code,,,,Voici votre code de patrouille,,こちらがあなたの巡回コードです,,,,,,,
GenericNPC_Loot,Quest,Dialogs,,,Loot around here,,,,Pillez autour d'ici,,ここで略奪してください,,,,,,,
GenericNPC_Dismiss,Quest,Dialogs,,,Dismiss,,,,Congédier,,解雇する,,,,,,,
GenericNPC_Pickup,Quest,Dialogs,,,Pick Me up!,,,,Ramassez-moi!,,私を拾ってください！,,,,,,,
GenericNPC_Weapon Menu,Quest,Dialogs,,,Weapon Menu,,,,Menu des armes,,武器メニュー,,,,,,,
GenericNPC_Melee,Quest,Dialogs,,,Melee Menu,,,,Menu de mêlée,,近接メニュー,,,,,,,
GenericNPC_Pistols,Quest,Dialogs,,,Pistol Menu,,,,Menu des pistolets,,ピストルメニュー,,,,,,,
GenericNPC_Rifles,Quest,Dialogs,,,Rifle Menu,,,,Menu des fusils,,ライフルメニュー,,,,,,,
GenericNPC_ShotGuns,Quest,Dialogs,,,ShotGun Menu,,,,Menu des fusils à pompe,,ショットガンメニュー,,,,,,,
GenericNPC_Others,Quest,Dialogs,,,Other Menu,,,,Autre menu,,その他のメニュー,,,,,,,
GenericNPC_BareHands,Quest,Dialogs,,,Use BareHands,,,,Utilisez les mains nues,,素手を使う,,,,,,,
GenericNPC_Club,Quest,Dialogs,,,Use Club,,,,Utilisez un gourdin,,クラブを使う,,,,,,,
GenericNPC_Knife,Quest,Dialogs,,,Use Knife,,,,Utilisez un couteau,,ナイフを使う,,,,,,,
GenericNPC_Bat,Quest,Dialogs,,,Use Bat,,,,Utilisez une batte,,バットを使う,,,,,,,
GenericNPC_Spear,Quest,Dialogs,,,Use Spear,,,,Utilisez une lance,,スピアを使う,,,,,,,
GenericNPC_Machete,Quest,Dialogs,,,Use Machete,,,,Utilisez une machette,,マチェットを使う,,,,,,,
GenericNPC_Axe,Quest,Dialogs,,,Use Axe,,,,Utilisez une hache,,斧を使う,,,,,,,
GenericNPC_SMG,Quest,Dialogs,,,Use SMG,,,,Utilisez un pistolet-mitrailleur,,SMGを使う,,,,,,,
GenericNPC_PipePistol,Quest,Dialogs,,,Use PipePistol,,,,Utilisez un pistolet à tuyau,,パイプピストルを使う,,,,,,,
GenericNPC_PipeShotgun,Quest,Dialogs,,,Use PipeShotgun,,,,Utilisez un fusil à pompe à tuyau,,パイプショットガンを使う,,,,,,,
GenericNPC_PipeRifle,Quest,Dialogs,,,Use PipeRifle,,,,Utilisez un fusil à tuyau,,パイプライフルを使う,,,,,,,
GenericNPC_PipeMG,Quest,Dialogs,,,Use PipeMachinegun,,,,Utilisez une mitrailleuse à tuyau,,パイプマシンガンを使う,,,,,,,
GenericNPC_M60,Quest,Dialogs,,,Use M60,,,,Utilisez un M60,,M60を使う,,,,,,,
GenericNPC_Pistol,Quest,Dialogs,,,Use Pistol,,,,Utilisez un pistolet,,ピストルを使う,,,,,,,
GenericNPC_DPistol,Quest,Dialogs,,,Use DesertEagle,,,,Utilisez un DesertEagle,,デザートイーグルを使う,,,,,,,
GenericNPC_AK47,Quest,Dialogs,,,Use AK47,,,,Utilisez un AK47,,AK47を使う,,,,,,,
GenericNPC_TRifle,Quest,Dialogs,,,Use AssaultRifle,,,,Utilisez un fusil d'assaut,,アサルトライフルを使う,,,,,,,
GenericNPC_HRifle,Quest,Dialogs,,,Use HuntingR,,,,Utilisez un fusil de chasse,,ハンティングライフルを使う,,,,,,,
GenericNPC_SRifle,Quest,Dialogs,,,Use SniperRifle,,,,Utilisez un fusil de sniper,,スナイパーライフルを使う,,,,,,,
GenericNPC_LBow,Quest,Dialogs,,,Use Longbow,,,,Utilisez un arc long,,ロングボウを使う,,,,,,,
GenericNPC_XBow,Quest,Dialogs,,,Use Crossbow,,,,Utilisez une arbalète,,クロスボウを使う,,,,,,,
GenericNPC_PShotgun,Quest,Dialogs,,,Use Shotgun,,,,Utilisez un fusil à pompe,,ショットガンを使う,,,,,,,
GenericNPC_AShotgun,Quest,Dialogs,,,Use AutoShotgun,,,,Utilisez un fusil à pompe automatique,,オートショットガンを使う,,,,,,,
GenericNPC_RLauncher,Quest,Dialogs,,,Use RLauncher,,,,Utilisez un lance-roquettes,,ロケットランチャーを使う,,,,,,,
GenericNPC_done,Quest,Dialogs,,,Nevermind.,,,,Peu importe.,,気にしないでください。,,,,,,,

EntityLootContainerNPC,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainer,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerClub,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerKnife,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerBat,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerAxe,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerSpear,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerMachete,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerPipePistol,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerPistol,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerDPistol,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerSMG,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerM60,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerAK47,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerPipeMG,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerTRifle,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerPipeRifle,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
EntityNPCLootContainerHRifle,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品
